Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2019,5 Year Energy Action and Assessment Compliance Status
10 City Square,Compliant,Office,10 City Square,02129,44000,105.9,23,,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",1878,305.2,6.9,4658417.7,0.523718838,0.431276611,,27.49,,"The Appalachian Mountain Club purchased the building in December of 2016, moving its headquarters to the building in September of 2017. Significant construction and renovations occurred throughout 2017.",,203627000,"2018, 2019, ",No,
10 Coventry Street,Compliant,College/University,10 Coventry Street,02115,69739,35.4,,,College/University,2004,157.3,2.3,2469891.3,0.445425452,0.516298025,,25.81,,,,901381010,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
10 High St,Compliant,Office,155 Federal St,02110,116823,Not Available,,,Office,1914,Not Available,Not Available,Not Available,,,,8.82,,,,304211000,"2014, 2017, 2018, 2019, ",Yes,Not Compliant
10 PO Square,Compliant,Office,10 Post Office Square,02109,438392,74.3,80,2018,Office,1920,2131.8,4.9,32586786.7,0.519193217,0.436191133,,12.42,,,,"0303879000, 0303880000,0303878000, 0303878010 ","2014, 2015, 2016, 2018, 2019, ",Yes,Not Compliant
10 Tremont Street,Compliant,Office,10 Tremont Street,02108,38000,55.2,96,,Office,1900,154.3,4.1,2099052.8,,,,12.73,,,,302854000,"2016, 2017, 2018, 2019, ",No,
10/20 Channel Center,Compliant,Office,10 Channel Center Street,02210,261168,118.4,23,2018,Office,1920,2317.5,8.9,30925692.5,0.920867412,,,12.57,,,,0602757030 0602757045,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
100 Arlington,Compliant,Multifamily Housing,100 Arlington Street,02116,203204,51.6,45,,"Food Sales, Multifamily Housing",1926,729.5,3.6,10490887.5,0.551694934,0.148645346,0.252251108,15.42,,Parcel ID: 0500805000,,0500805000,"2015, 2016, 2017, 2018, 2019, ",No,
100 Ashford Street,Compliant,Other - Stadium,100 Ashford Street,02215,96292,104.8,,,Other - Stadium,2002,629.8,6.5,10093352.2,0.391837652,0.574490693,,3.98,,,,2100415000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
100 Bay State Road,Compliant,Office,100 Bay State Road,02215,123678,142.2,,,"Food Service, Office",2012,1147,9.3,17583759.3,0.51120661,0.444864051,,38.64,,,,504028000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
100 Clarendon Street Garage,Compliant,Other,100 Clarendon Street,02116,843168,18.1,,,"Bank Branch, Medical Office, Office, Other",1969,1129,1.3,15266431.1,0.879213097,0.045024092,0.000209708,1.5,,"This entire property is a garage, with the exception of two retail tenants on Dartmouth Street (Eastern Bank and Harvard Vanguard Medical Associates). The garage office is staffed 24x7 and includes a small office for Avis Rental Car.",,0401082001,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
100 East Newton Street (635 Albany) G Building,Compliant,Medical Office,100 East Newton Street,02118,89406,279.3,3,,Medical Office,1969,1731.7,19.4,24973205.3,0.317297746,,0.655436016,44.49,,,,0801295000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
100 Federal St.,Compliant,Office,100 Federal St.,02110,1498161,74.2,75,"2018, 2017, 2016, 2015, 2013, 2009","Data Center, Office, Other - Restaurant/Bar, Parking",1970,7840.8,5.3,110433369.8,0.49627792,,0.461075599,8.32,,,,0304410000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
100 Franklin Street,Compliant,Office,100 Franklin Street,02110,124055,60.6,75,,"Bank Branch, Office",1908,516.6,4.2,7516025.1,0.659237055,0.284112955,,8.96,,,,0304666000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
100 Guest Street,Compliant,Office,100 Guest Street ,02135,296176,110.2,59,,"Office, Other - Restaurant/Bar, Parking, Retail Store",2015,2120.5,7.2,32644854.9,0.499740416,0.457315563,,15.32,,,,2201905030,"2018, 2019, ",No,
100 High Street,Compliant,Office,100 High Street,02110,550326,62,,"2018, 2017, 2014, 2012, 2011, 2010","Data Center, Office, Parking",1988,2558.5,4.6,34141116.2,0.920867416,,,6.21,,,,0304408000,"2014, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
100 Holton St,Compliant,Office,100 Holton St,02135,115577,Not Available,,,Office,1975,Not Available,Not Available,Not Available,,,,Not Available,,,,2200966000,"2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
100 Northern Avenue,Compliant,Office,100 Northern Avenue,02210,572998,78.2,58,2018,"Office, Parking, Restaurant",2016,2949.9,5.1,44834873,0.535086134,0.418932493,,12.47,,,,0602671039,"2018, 2019, ",No,
101 Arch Street,Compliant,Office,101 Arch Street,02110,473906,61.7,57,"2018, 2017, 2016, 2015, 2013, 2012, 2011, 2010, 2009","Fast Food Restaurant, Food Service, Office, Parking, Restaurant",1988,2183,4.6,29241951,0.90888413,0.013013041,,12.51,,,,0304597000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
101 CHARLESTOWN,Municipal,Multifamily Housing,55 Bunker Hill St.,02129,800238,124.4,15,,Multifamily Housing,1940,5805.9,7.3,99562927,0.219407568,0.761738156,,8619.87,,,,202920000,"2016, 2017, 2018, 2019, ",No,
101 Huntington Ave,Compliant,Office,101 Huntington Ave,02199,585345,78.4,74,"2018, 2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008","Office, Parking",1972,3205.9,5.5,45881815.7,0.435496659,0.042497758,0.484582196,11.08,,,,0401037101,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
101 Merrimac Street,Compliant,Office,101 Merrimac Street,02114,159272,69.9,68,,"Office, Parking",1990,792.8,5,11127404.3,0.765029465,0.16922953,,12.69,,,,301675000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
101 Seaport Boulevard,Compliant,Office,101 Seaport Boulevard,02210,620642,53.8,92,"2018, 2017","Office, Parking",2015,2264.1,3.6,33374468.1,0.621383007,0.325219898,,13.02,,,,602643020,"2017, 2018, 2019, ",No,
101 Summer Street,Compliant,Office,101 Summer Street,02110,48905,64.3,64,,Office,1899,218.4,4.5,3145530.5,0.688831896,0.251974953,,24.24,,,,030457800,"2018, 2019, ",Yes,Not Compliant
101 Tremont,Compliant,Office,101 Tremont Street,02108,80344,64.3,,,Office,1901,328.5,4.1,5168309.4,0.440719428,0.521408393,,26.76,,,,0304717000,"2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
1010 Massachusetts Ave,Municipal,Office,1010 Massachusetts Ave,02118,195000,39.8,89,,Office,2000,525.5,2.7,7760513.7,0.615997638,0.331068045,,Not Available,,,,801023000,"2016, 2017, 2018, 2019, ",No,
10-18 Buswell Street,Compliant,Multifamily Housing,10-18 Buswell Street,02215,66456,88.9,51,,Multifamily Housing,1924,329.4,5,5906604.3,0.11198052,0.878396679,,57.06,,,,2100201000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
1019 Commonwealth Avenue,Compliant,Residence Hall/Dormitory,1019 Commonwealth Avenue,02215,77750,70.4,70,,Residence Hall/Dormitory,1977,344.6,4.4,5475752.9,0.41401224,0.550410593,,35.31,,,,2100468000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
102-108 Columbia Rd,Compliant,Multifamily Housing,102-108 Columbia Rd,02121,34821,78.6,59,,Multifamily Housing,1920,156.5,4.5,2736848.9,0.171262804,0.814020131,,85.09,,,,1400833000,"2017, 2018, 2019, ",No,
10-24 School Street,Compliant,Office,10-24 School Street,02108,134789,65.5,85,"2018, 2017, 2016","Data Center, Office, Retail Store",1925,627.4,4.7,8833155.4,0.499728354,2.2642E-05,0.457306038,8.02,,,,304718000,"2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
103 CLAYTON STREET,Compliant,Office,103 CLAYTON STREET,02122,40696,50.8,75,,Office,1912,132.9,3.3,2065452.6,0.473954538,0.485317359,,5.77,,,,1600579000,"2016, 2017, 2018, 2019, ",No,
104 LENOX,Municipal,Multifamily Housing,136 Lenox St.,02118,199545,176.9,3,,Multifamily Housing,1940,1978,9.9,35308411.5,0.122581306,0.86688496,,7268.25,,,,901447000,"2019, ",No,
105 Magazine St,Municipal,Other,105 Magazine St,02119,5150,Not Available,,,Other,2000,Not Available,Not Available,Not Available,,,,Not Available,,,,800487000,"2016, 2017, 2018, 2019, ",No,
10500002 - Boston,Compliant,Distribution Center,100 Widett Circle,02118,212584,44,80,,Distribution Center,1969,701.1,3.3,9355294.1,0.920867404,,,12.41,,0600006020 - Boston Assessing Parcel ID,,0600006020,"2015, 2018, 2019, ",Yes,Not Compliant
105-129 Kingston Street,Compliant,Office,2 24 Edinboro Street,02111,75500,50.3,,,"Office, Retail Store",1910,257.8,3.4,3799942.1,0.154825567,,0.831869833,12.6,,,,0304421000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
106 CATHEDRAL,Municipal,Multifamily Housing,1472 Washington St.,02118,571440,88,38,,Multifamily Housing,1951,2906.9,5.1,50281448.2,0.198248516,0.784715463,,5107.84,,,,801209010,"2019, ",No,
107 HEATH,Municipal,Multifamily Housing,30 Bickford Street,02130,279963,104.4,15,,Multifamily Housing,1942,1653.5,5.9,29234688.2,0.145320807,0.842191394,,2820.23,,,,1002333000,"2019, ",No,
109 Brookline Ave. - Ste # 602030,Compliant,Office,109 BROOKLINE AVE,02215,285556,157,25,,"Office, Parking",1990,3306.2,11.6,44844086.7,0.869803362,0.055452123,,2.06,,,,2100071000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
1091 Boylston Street Condominium,Compliant,Multifamily Housing,1091 Boylston,02215,19161,150.6,28,,Multifamily Housing,1920,160.9,8.4,2885200.8,0.111262619,0.879176312,,63.98,,,,504162000,"2017, 2018, 2019, ",No,
1098-Jamaica Plain,Compliant,Self-Storage Facility,3175 Washington Street,02130,71057,29.6,,,Self-Storage Facility,2009,142.8,2,2101363.4,0.626600084,0.319554438,,0.44,,,,1102009000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
11 Beacon,Compliant,Office,11 Beacon Street,02110,146388,74.4,82,,"Office, Other - Restaurant/Bar",1911,665.1,4.5,10897797.7,0.334038714,0.637256452,,8.73,,,,0302804000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
11 Tetlow Street - Tetlow Realty Associates,Compliant,Multifamily Housing,11 Tetlow Street,02115,21779,1.1,,,Multifamily Housing,1918,1.3,0.1,24087.4,,1,,11.57,,,,401834000,"2017, 2018, 2019, ",No,
110-112 Cummington Street,Compliant,College/University,110-112 Cummington Street,02215,48901,1.3,,,College/University,1923,3.3,0.1,62927.6,,1,,5.2,,,,2100277000,"2014, 2015, 2016, 2017, 2018, 2019, ",No,
111 Cummington Street (664-666 Comm. Ave),Compliant,College/University,111 Cummington Street (664-666 Comm. Ave),02215,93831,190.7,,,College/University,1911,1104.6,11.8,17895076.6,0.363451924,0.605315682,,13.5,,,,2100282000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
111 Huntington Ave,Compliant,Office,111 Huntington Ave,02199,1034179,80.3,63,"2018, 2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2003",Office,2001,5938.7,5.7,83058462.1,0.554111693,0.002766726,0.39550529,15.36,,,,0401037500,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
111 WHITTIER,Municipal,Multifamily Housing,1158 Tremont St.,02119,108472,62.6,82,,Multifamily Housing,1953,599.9,3.7,10283173.3,0.220383249,0.760678622,,Not Available,,,,902643000,"2019, ",No,
1126,Compliant,Retail Store,14 Allstate Road,02125,45261,60.3,55,,Retail Store,2006,188.6,4.2,2727412.5,0.676352778,0.265526392,,1.17,,,,703501030,"2016, 2017, 2018, 2019, ",No,
114 ALICE TAYLOR,Municipal,Multifamily Housing,260 Ruggles St.,02120,389949,85.9,24,,Multifamily Housing,1951,1967.7,5,33484080.6,0.238450455,0.741058863,,8169.68,,,,402043700,"2019, ",No,
114 Western Ave,Compliant,Office,114 Western Ave,02138,70849,Not Available,,,"Office, Other, Urgent Care/Clinic/Other Outpatient",1925,Not Available,Not Available,Not Available,,,,Not Available,,,,2200268000,"2015, 2016, 2017, 2018, 2019, ",Yes,Extension
1140 Boylston Street,Compliant,College/University,1140 Boylston Street,02215,66920,88.8,,,College/University,1920,386.9,5.8,5942439.9,0.506272289,0.450222374,,8.41,,,,401755000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
1144-1160 Comm,Compliant,Multifamily Housing,1144-1160 Commonwealth ,02134,49283,347.3,,,Multifamily Housing,1910,948.2,19.2,17117147.1,0.096281455,0.895444831,,142.95,,"Multiple parcels for the same building.  All impacted parcels are listed below.  

2101580000
2101581000
2101582000
2101583000
2101578000",,2101579000,"2018, 2019, ",No,
115 – West Roxbury,Compliant,Supermarket/Grocery Store,1800 Centre St,02481,55929,322.7,58,,"Parking, Supermarket/Grocery Store",2002,1200.8,21.5,18049787.2,0.56605122,0.385306482,,33.42,,"Water consumption was estimated for October and November. In the original invoices from Boston Water and Sewer Commission, October's consumption was 28,896 cubic feet and November's consumption was -990 cubic feet. We reached out to the BWSC and they mentioned this was done as a true up to make the annual figures correctly. Since PM does not accept negative values, we adjusted October's consumption to 27,906 cf and November's consumption to be 0 cubic feet. ",,2005752010,"2016, 2017, 2018, 2019, ",No,
115 Broad Street,Compliant,Office,115 Broad Street,02110,56025,57.9,45,,Office,1900,243.2,4.3,3246312.4,0.919420717,0.001571013,,6.5,,,,304040000,"2016, 2018, 2019, ",No,
1157-1177 Comm Ave,Voluntary,Multifamily Housing,1157 Commonwealth Avenue,02134,60000,82.9,55,,Multifamily Housing,1920,277.2,4.6,4971035.1,0.111802834,0.878589672,,29.51,,,,2100772000 2100778000,"2018, 2019, ",No,
116 Huntington,Compliant,Office,116 Huntington Ave,02116,287141,64.8,78,"2018, 2017, 2016, 2015, 2010","Office, Parking, Restaurant",1990,1394.1,4.9,18602997.6,0.92086742,,,12.74,,Columbia REIT-116 Huntington LLC c/o JLL.,,0401013010,"2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
119,Compliant,Office,119 Braintree Street,02134,140388,37.1,96,,"Office, Parking",1908,335.1,2.4,5230818.4,0.46184943,0.498462592,,5.16,,"Property use is office and artist studio.
Parking gross floor area is estimated.",,2201867000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
119 BROMLEY PARK,Municipal,Multifamily Housing,30 Bickford St.,02130,588634,93,66,,Multifamily Housing,1954,3077.8,5.2,54731421.1,0.131666974,0.857018534,,7984.1,,,,1001851000,"2019, ",No,
12 Farnsworth,Compliant,Office,12 Farnsworth Street,02210,57108,147.8,63,,"Office, Retail Store",1918,556.7,9.7,8442373.5,0.541290918,0.412194485,,35.8,,,,0602665000,"2015, 2017, 2018, 2019, ",Yes,Extension
120 Ashford Street,Compliant,Distribution Center,120 Ashford Street,02215,65198,124.8,8,,"Distribution Center, Office, Parking",1958,485.5,7.4,8134038.5,0.277378302,0.698785837,,6.04,,,,2100414000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
120 Fulton St,Compliant,Multifamily Housing,120 Fulton St,02109,37522,63.4,33,,Multifamily Housing,1900,151.5,4,2377412.2,0.447462434,0.514085988,,26.53,,,,0303474000,"2017, 2018, 2019, ",No,
120 Herald Street,Compliant,Other,120 Herald Street,02116,115680,1.5,,,"Other, Parking",1967,12.6,0.1,168508.1,0.920867542,,,Not Available,,this is a parking structure only.  There is no building associated. No water meter.,,0500515000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
1200 Commonwealth Ave,Compliant,Multifamily Housing,1200 Commonwealth Avenue,02134,33824,53,76,,Multifamily Housing,1990,120.6,3.6,1794117.6,0.594637763,0.354263455,,32.3,,,,2101571000,"2017, 2018, 2019, ",No,
121 - Roche Bros.,Compliant,Supermarket/Grocery Store,10 Summer St,02110,37000,200.3,35,,Supermarket/Grocery Store,2008,539.1,14.6,7411951.9,0.827873114,0.100985545,,Not Available,,"Submitting as a tenant. 

Subsequently, default values are only available at this time. Water data was currently unavailable for this site. This is administered by the landlord. 

Thank you for your understanding. ",,0304585010,"2017, 2018, 2019, ",No,
123 ME MCCORMACK,Municipal,Multifamily Housing,10 Kemp St.,02127,859162,151.9,1,,Multifamily Housing,1938,7397.8,8.6,130472644.9,0.151275646,0.835724836,,7226.94,,,,702853000,"2019, ",No,
1230 Washington St,Compliant,Manufacturing/Industrial Plant,1234 Washington St,02118,60990,28.7,,,Manufacturing/Industrial Plant,1926,97.3,1.6,1751593.2,0.103582004,0.887516976,,6.99,,,,0306443000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
1234 Soldiers Field Road,Compliant,Hotel,1234 Soldiers Field Road,02135,58550,72.2,96,,"Hotel, Parking",1900,233.5,4,4225235.9,0.090498677,0.90172454,,51.19,,,,2200562002,"2017, 2018, 2019, ",Yes,Extension
124 OLD COLONY,Municipal,Multifamily Housing,265 East 9th St.,02127,334068,98.3,16,,Multifamily Housing,1940,1943.9,5.8,32843461.6,0.256214689,0.721768098,,10217.94,,,,700538010,"2019, ",No,
1249 Boylston Street,Compliant,Office,1249 Boylston Street,02115,37495,105.5,,,"Office, Retail Store",1950,266.5,7.1,3956917.6,0.600611484,0.347776411,,4.71,,,,0504205000,"2016, 2017, 2018, 2019, ",No,
125 High St.,Compliant,Office,125 High Street,02110,1511250,54.1,78,"2018, 2017, 2015, 2014, 2013, 2012, 2011, 2010, 2009","Office, Parking",1990,6127.4,4.1,81766096.7,0.920867415,,,9.8,,,,304102000,"2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
125 Lincoln Street,Compliant,Mixed Use Property,125 Lincoln Street,02111,57813,95,67,,"Office, Other, Parking, Supermarket/Grocery Store",1955,351,6.1,5492515.1,0.455081567,0.505812046,,15333.06,,,,304334000,"2014, 2017, 2018, 2019, ",Yes,Extension
125 Magazine St,Municipal,Office,125 Magazine St,02119,8100,57.9,68,,Office,2000,28.5,3.5,468597.5,0.327700413,0.64413916,,Not Available,,,,800495010,"2016, 2017, 2018, 2019, ",No,
125 Quincy St,Compliant,Multifamily Housing,125 Quincy St,02121,4284,78.4,,,Multifamily Housing,1845,19.3,4.5,335929.1,0.18093696,0.803514789,,50.08,,,,1300741010,"2015, 2016, 2017, 2018, 2019, ",No,
125 Summer Street,Compliant,Office,125 Summer Street,02110,521903,59.4,72,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011","Data Center, Office, Parking",1989,2322.6,4.5,30993932.5,0.920867413,,,10.9,,"This property represents a single building only.  All energy data have been entered correctly up to 1/31/2011.

The building is currently seeking LEED EB Certification:
Project Name = 125 Summer Street
Project ID = 1000063066",,0304256000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
1255 Boylston Street,Compliant,Retail Store,1255 Boylston Street,02215,32776,75.5,22,,"Office, Retail Store",1950,180.7,5.5,2473050.9,0.841657901,0.086016264,,11.08,,,,0504206000,"2016, 2017, 2018, 2019, ",No,
126 Brookline Ave,Compliant,Retail Store,126 Brookline Ave,02215,61406,249.9,1,,"Office, Retail Store",1920,954.1,15.5,15343537.5,0.38252599,0.58460254,,59.13,,,,0504328000,"2016, 2017, 2018, 2019, ",Yes,Not Compliant
126 Newbury St,Compliant,Retail Store,126 Newbury St,02116,49896,34,90,,Retail Store,1960,127.1,2.5,1695857.1,0.920867367,,,4.42,,,,0501320000,"2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
1277 Commonwealth Ave,Compliant,Multifamily Housing,1277 Comonwealth Ave,02134,63287,35.6,100,,Multifamily Housing,1912,135,2.1,2252159.9,0.288451813,0.686760651,,35.97,,,,2101025000,"2016, 2017, 2018, 2019, ",No,
1284 Soldiers Field Road,Compliant,Office,1284 Soldiers Field Road,02138,36383,Not Available,,,Office,2003,Not Available,Not Available,Not Available,,,,Not Available,,"This property is owned by HRE (Harvard Real Estate), and in calendar year 2017 there were 2 tenants in the building (Rule & Winter Garden). One tenant occupied the building only part of the year. HRE is responsible to electricity use in common spaces and whole building water use.",,2200566000,"2018, 2019, ",No,
129 Quincy St,Compliant,Multifamily Housing,129 Quincy St,02121,4284,65.3,,,Multifamily Housing,1845,15.6,3.6,279827.4,0.10425523,0.886785926,,29.61,,,,1300741010,"2015, 2016, 2017, 2018, 2019, ",No,
129-135 Columbia Rd,Compliant,Multifamily Housing,129-135 Columbia Road,02121,66400,63.3,73,,Multifamily Housing,1940,241.3,3.6,4205177.9,0.179611687,0.80495384,,38.52,,,,1401065000,"2018, 2019, ",No,
1295 Boylston - Ste# 535088,Compliant,Office,1295 BOYLSTON ST,02215,130751,159.7,13,,"Office, Parking, Retail Store",1990,1448.2,11.1,20881629.9,0.681717628,0.255735358,,7.48,,Property Management received from national grid and NStar the gas use for the missing tenants and whole building electric uses.,,0504210010,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
131 Dartmouth Street,Compliant,Office,131 Dartmouth Street,02116,379000,17.9,100,"2018, 2017, 2016","Data Center, Office, Parking",2003,509.1,1.3,6794185.6,0.920867434,,,27.92,,"Water meters have abatement meters for irrigation and cooling tower. Square footage for Building and garage are best estimates.

There are two property parcel ID
0400572000
0400574000

We are using the two portal meters (active, and squeezed off)

",,0400572000,"2014, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
1315 Commonwealth Avenue,Compliant,Multifamily Housing,1315 Commonwealth Avenue,02134,37182,8.4,100,,Multifamily Housing,1900,23.4,0.6,311720.3,0.920867585,,,57.08,,,,2101038000,"2017, 2018, 2019, ",No,
"1330 Boylston Street Properties, LLC",Compliant,Multifamily Housing,1330 Boylston Street,02215,350714,51.9,77,,"Multifamily Housing, Office, Parking, Retail Store",2008,1201.1,3.4,18213726.3,0.541459661,0.41201127,,32.74,,Parcel ID 0504314014,,0504314014,"2015, 2016, 2017, 2018, 2019, ",No,
136 Mass Ave,Compliant,College/University,150 Mass Ave,02215,36500,17.3,,,College/University,1900,47.4,1.3,632008,0.92086728,,,Not Available,,,,401373001,"2016, 2017, 2018, 2019, ",No,
137 Englewood Avenue,Compliant,Multifamily Housing,137 Englewood Avenue,02135,56239,43.7,100,,Multifamily Housing,1935,147.5,2.6,2459846.1,0.288339454,0.68688285,,46.24,,,,2102331000,"2015, 2016, 2017, 2018, 2019, ",No,
137 Newbury Street,Compliant,Office,137 Newbury St.,02116,57986,70.1,60,,Office,1929,265.4,4.6,4062674.1,0.515453773,0.440251902,,11.12,,,,0501339000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
137 Park Drive - Gilbert Realty Trust,Compliant,Multifamily Housing,137 Park Drive,02215,31092,2.3,100,,Multifamily Housing,1926,5.1,0.2,72145.1,0.765890019,0.16829556,,4.23,,,,504277000,"2017, 2018, 2019, ",No,
1380 Soldiers Field Rd,Compliant,Office,1380 Soldiers Field Rd,02134,76962,Not Available,,,"Medical Office, Office, Parking",1990,Not Available,Not Available,Not Available,,,,Not Available,,,,2200578000,"2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
14 Beacon Street LLC,Compliant,Office,14 Beacon Street,02108,88203,51.2,88,,"Library, Office",1897,265.9,3,4517895.5,0.241778181,0.737445145,,3.21,,"Building houses the Congregational Library and has a climate control system.
Rest of building is made up of office spaces rented to both profit and non-profit tenants.",,0304692050,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
