Property Name,Reported,Tax Parcel,Property Type,Address, Zip,"Gross Area (sq ft) 
",Site EUI (kBTU/sf),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link
Wilkes Passage Lofts Condominium,Reported,306010010,Multifamily Housing,1313 Washington Street,2118,394950,48.3,94,2020,"Multifamily Housing, Parking",2002,788.3,2.9,12966542.8,0.4512,0.5488,,,,,,20.31,Not Available,"Wilkes Passage Lofts is an urban infill development consisting of a seven story mixed-use development that consists of 152 residential condominium units, 20,000 square feet of commercial/restaurant space and approximately 386 below-grade parking spaces.

",
Huntington Ave Theatre,Reported,402290000,Performing Arts,264 Huntington Ave,2115,41896,77.5,,,Performing Arts,1926,184.2,4.4,3246192,0.2139,0.7861,,,,,,4.69,Not Available,"For sq footage of this building, I used what is one file for the city of Boston: 41,896 sq ft. 

We do not have a waste and materials meter in this building, so there is no info entered for that category. 

",
234 Berk,Submitted with possible data errors,501295000,Retail Store,234 Berkeley Street,2116,44000,Not Available,,,Retail Store,1863,Not Available,Not Available,Not Available,,,,,,,,Not Available,Not Available,,
Catherine Clark: Catherine Clark,Reported,1301910000,Multifamily Housing,915 Dorchester Avenue,2125,74185,101.2,18,,Multifamily Housing,1977,438.4,5.9,7510449.3,0.389,0.6911,,,,,,Not Available,Not Available,Basement square footage estimated ,
Marcus Garvey,Reported,903557000,Multifamily Housing,42 John Eliot Square,2119,144181,70.7,60,,Multifamily Housing,1981,594.3,4.1,10188434.1,0.364,0.6936,,,,,,46.97,Not Available,"Parcel ID: 0903557000
Address: NORFOLK ST, 02119

",
Hemenway Apartments,Reported,401797000,Multifamily Housing,491 Huntington Ave,2115,70300,101.4,35,,Multifamily Housing,1900,404.5,5.8,7130106.3,0.2126,0.7874,,,,,,63.83,Not Available,"Energy/Water usage + building characteristics cover three connected buildings: 

491 Huntington Ave (6 Museum Rd): 0401797000
497 Huntington Ave: 0401798000
499 Huntington Ave: 0401799000",
Prang Estates: Prang Estates,Reported,903453000,Multifamily Housing,45 Centre Street,2119,48273,73.6,50,,Multifamily Housing,1987,199,4.1,3553628.6,0.1688,0.8312,,,,,,54.13,Not Available,unit sq footage estimated,
Sarah Baker Manor: Sarah Baker Manor,Reported,1200353000,Multifamily Housing,33 Perrin Street,2119,34484,108.2,32,,Multifamily Housing,2000,276.2,8,3732225.9,0.528,,,0.9472,,,,Not Available,Not Available,"sq footage from Boston tax assessor's database
total unit sq footage estimated",
Maple Commons: Maple Commons,Reported,1202491000,Multifamily Housing,15 Maple Street,2121,27344,88.5,66,,Multifamily Housing,1920,136.8,5,2420153.4,0.2,0.8,,,,,,88.59,Not Available,"9 1BR, 23 2BR, 9 3BR

gross sq footage from Boston tax assessor's database

15, 19 Maple St - 26 units
21 Nazing St - 11 units
19A, 19 Centre - 4 units",
Taurus Apartments: Taurus Apartments,Reported,1201992000,Multifamily Housing,120 Humboldt Avenue,2121,42336,81.4,29,,Multifamily Housing,1980,195.1,4.6,3447003.1,0.245,0.7955,,,,,,45.62,Not Available,"estimated: facilities, ",
Wayne at Franklin Hill: Wayne at Franklin Hill,Reported,1404338000,Multifamily Housing,140 American Legion Highway,2124,78266,73.2,63,,Multifamily Housing,1990,324.7,4.1,5726079.8,0.2114,0.7886,,,,,,Not Available,Not Available,"sq footage from boston tax assessor's database
",
Robert Fortes: 541 Shawmut Ave.,Reported,900939000,Multifamily Housing,541 Shawmut Ave,2118,43425,48.2,87,,Multifamily Housing,1980,125.2,2.9,2095147.7,0.395,0.695,,,,,,27.81,Not Available,"Tenants do not pay utilities, building pays for gas, electric and water. 
electric stoves, gas heat and DHW. ",
Roxbury Crossing Maria Sanchez: Maria Sanchez House,Reported,902921010,Multifamily Housing,30 Gurney Street,2120,34700,57.5,60,,Multifamily Housing,2015,117.5,3.4,1995457.6,0.3392,0.668,,,,,,Not Available,Not Available,,
West End Place,Voluntary,300471002; 300471004,Multifamily Housing,150 Staniford Street,2114,289457,57.3,84,,"Multifamily Housing, Parking, Retail Store",1997,857.2,3.4,14558011.8,0.339,0.661,,,,,,32.78,Not Available,"150  STANIFORD ST #1: 300471002
150 STANIFORD ST #2:  300471004
",
140 Clarendon,Reported,401085000,Mixed Use Property,140 Clarendon Street,2116,193965,69.4,,,"Hotel, Multifamily Housing, Office, Other, Other - Lodging/Residential",1930,921.3,4.7,13468956.6,0.5365,,0.4635,,,,,Not Available,Not Available,"Energy Star score not created because largest portion of building is not 50% of the total, and is not a property type that can generate an energy star score. Building setup was left the way it was reported for this reason

Other Lodging = SRO (no field for bedrooms)

Bedroom/Unit Breakout:
65 SRO’s  Single Room Occupancy   (basically a room with a bathroom)
12 Studio’s
35 one bedrooms
6 two bedrooms",
Columbia Road Apartments,Reported,1502435000,Multifamily Housing,414 Columbia Road,2125,26444,56.5,80,,Multifamily Housing,1920,85.8,3.2,1494603.3,0.255,0.7495,,,,,,32.04,Not Available,"According to Boston's tax assessor database, parcel id 1502435000 has a gross area of 26,444 square feet. It also has less than 35 units. 

Reporting data for one building with two service addresses: 414 and 418 Columbia Road. ",
Morville House: 100 Norway Street,Reported,401452000,Multifamily Housing,100 Norway Street,2115,152987,65,77,,Multifamily Housing,1972,571.6,3.7,9939166.5,0.258,0.742,,,,,,Not Available,Not Available,"

",
Brighton-Allston Apartments,Reported,2204054000,Multifamily Housing,493 501 WASHINGTON ST,2135,39006,79,59,,Multifamily Housing,1920,171.6,4.4,3081305.1,0.151,0.849,,,,,,Not Available,Not Available,"Multiple addresses contribute to this property, which is why it was not originally flagged for reporting. 
Addresses:
493 Washington St.
495 Washington St.
497 Washington St.
499 Washington St
501 Washington St",
Viviendas: 100 West Dedham,Reported,900080000,Multifamily Housing,100 West Dedham,2118,63968,98.2,33,,Multifamily Housing,2001,357.1,5.6,6283131.6,0.2188,0.7812,,,,,,56.92,Not Available,,
Rockland Street Elderly: Rockland Street Elderly,Reported,1200724000,Multifamily Housing,30 Rockland Street,2119,32980,56,68,,Multifamily Housing,2009,108.6,3.3,1847372.2,0.3333,0.6667,,,,,,25.74,Not Available,,
Riley House: 39 Maple Avenue,Reported,1809143010,Multifamily Housing,39 Maple Avenue,2136,46834,51,50,,Multifamily Housing,2000,142.5,3,2386307.8,0.3869,0.6131,,,,,,33.75,Not Available,,
Charlesbank Apartments: 650 Huntington Avenue,Reported,1000015000,Multifamily Housing,650 Huntington Avenue,2115,210000,61.1,84,,Multifamily Housing,2012,749.9,3.6,12840917.1,0.314,0.6896,,,,,,39.43,Not Available,Parcel ID 1000015000 is associated with 650 Huntington in Tax Assessor Database but on CBL it is listed as Longwood Ave. ,
McBride House/St Cecilia's: StC-108 Kilmarnock st,Reported,504281010,Multifamily Housing,StC-108 Kilmarnock st,2115,80731,57.8,89,,Multifamily Housing,1995,276.3,3.4,4664923.5,0.3592,0.648,,,,,,Not Available,Not Available,2 seperate buildings with shared water meter.,
St. Helena's House: 89 Union Park Street,Reported,801080000,Multifamily Housing,89 Union Park St,2118,85828,55.7,83,,Multifamily Housing,1986,277.7,3.2,4783208,0.299,0.791,,,,,,Not Available,Not Available,"Eversource failed to provide data despite requesting it weeks in advance of the deadline. Confirmed it was sent by Eversource, but never received. Can show receipts of request ",
Catherine Hardaway Building (CBES): 2311 Washington st,Reported,903130010,Multifamily Housing,2311 Washington st,2119,49588,67.6,45,,Multifamily Housing,2012,202.9,4.1,3350171,0.4376,0.5624,,,,,,Not Available,Not Available,,
Oak Terrace Apartments,Reported,305484010,Multifamily Housing,888 Washington Street,2111,110224,61.8,93,,Multifamily Housing,1994,387.5,3.5,6811426.2,0.2222,0.7778,,,,,,52.33,Not Available,"Building is listed on the Covered Buildings List as ES Washington Street. Square footage was only for a portion of the property on the tax assessor map, which was under the threshold anyway. The GFA used is the correct value for this property. 
",
Geneva Avenue Elderly Housing: 22 Beechwood Street,Reported,1400035000,Multifamily Housing,22 Beechwood Street,2121,42420,50.7,77,,Multifamily Housing,1980,131.3,3.1,2151875.6,0.4632,0.5368,,,,,,27.05,Not Available,All building info is updated and accurate as received from Property Manager. Need to add upgrade details,
One Gurney: 1 Gurney Street,Reported,902908050,Multifamily Housing,1 Gurney Street,2120,77529,54.8,64,,Multifamily Housing,2016,258.4,3.3,4245913.2,0.4556,0.5444,,,,,,Not Available,Not Available,,
88 Hudson: 88 Hudson Street,Reported,304981010,Multifamily Housing,88 Hudson Street,2111,59992,50.2,95,,Multifamily Housing,2018,174.7,2.9,3010462.6,0.2897,0.713,,,,,,27.83,Not Available,,
Wilder Gardens,Reported,1400731000,Multifamily Housing,36 Bishop Joe L. Smith Way,21121,70756,63.6,87,,Multifamily Housing,1920,260,3.7,4503512.3,0.2715,0.7285,,,,,,50.55,Not Available,"Includes parcel ids: 1400732000, 1400733000, 1400734000, 1400735000. Together these buildings exceed 50,000 square feet. Required parcel id, 1400731000, only amounts to 14,000 square feet and has less than 35 units. 

Utility usage rolled up together from utility companies as they are managed on the property level and meters are split over property. ",
Franklin Highlands: 278-280 Humboldt Avenue,Reported,1202327000,Multifamily Housing,278-280 Humboldt Avenue,2121,29706,62.6,77,,Multifamily Housing,2001,105.4,3.5,1859993,0.284,0.7916,,,,,,68.51,Not Available,,
Columbia Road Apts: 422 Columbia Road,Reported,1502434000,Multifamily Housing,422 Columbia Road,2125,31548,66,82,,Multifamily Housing,1920,117.3,3.7,2081255.3,0.199,0.891,,,,,,Not Available,Not Available,"10 studios, 25 1 BR size & heat/HW
K DeWolf June 2010 / Kate Hussey June 2010
Sq Ft verified - JM Sept 2011
 ",
Mattapan Center for Life: 555 River Street,Reported,1801691020,Multifamily Housing,555 River Street,2126,52970,52.6,64,,Multifamily Housing,1996,160.1,3,2785369.7,0.2564,0.7436,,,,,,Not Available,Not Available,Bedroom count is accurate - each unit has one bedroom so # units  = # bedrooms,
Rollins Square,Reported,306455010,Multifamily Housing,2 Rollins Street,2118,376000,52.5,89,,"Multifamily Housing, Retail Store",2003,1142.3,3,19740695.7,0.2791,0.729,,,,,,25.69,Not Available,,
Methunion,Reported,400790000,Multifamily Housing,465 Columbus Avenue,2116,42998,128.8,34,,"Multifamily Housing, Retail Store",1971,307.9,7.2,5537094.5,0.1462,0.8538,,,,,,49.85,Not Available,Address listed on the Tax Assessor Database as 6 4 BRADDOCK PK - Parcel ID 400790000 ,
19 Hampden,Reported,802130000,Manufacturing/Industrial Plant,19 Hampden St,2119,35470,56.5,,,Manufacturing/Industrial Plant,1997,115,3.2,2002796.8,0.2517,0.7483,,,,,,5.59,Not Available,,
Garage at Post Office Square,Reported,304163000,Parking,Zero Post Office Square,2109,532700,41.6,,,"Other - Recreation, Parking",1990,145.9,2.9,2079900.8,1,,,,,,,23.16,Not Available,"assessing parcel 0304163000.   Parking Garage has restrooms which are open to the public 24 hours/7 days, accounting for a significant portion of water use.",
Gatehouse 75 (gt28),Reported,202360000,Multifamily Housing,75 W School St,2129,136269,49.2,85,2020,"Multifamily Housing, Parking",2013,356.3,3,5801334.4,0.4883,0.5117,,,,,,28.53,Not Available,"There are three different water meters on the property, so we reported them separately instead of as one meter. WAgt280001 refers to meter #70263683, WAgt280002 refers to the fireline, and WAgt280003 refers to meter #70263683.",
501 Boylston,Reported,0501296002 0501296004 0501296006,Office,501 Boylston Street,2116,727003,62.3,94,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007, 2005","Bank Branch, Heated Swimming Pool, Office, Other, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Retail Store",1940,2514.9,3.7,42525604.1,0.354,0.646,,,,,,6.49,Not Available,,
EBNHC - Maverick,Reported,105658010,Urgent Care/Clinic/Other Outpatient,20 Maverick Square,2128,47777,101.3,,,Urgent Care/Clinic/Other Outpatient,2012,311,6.5,4839358.9,0.6555,0.3445,,,,,,90.54,Not Available,,
East Boston Neighborhood Health Center,Reported,105815000,Urgent Care/Clinic/Other Outpatient,10 Gove St,2128,57458,128.8,,,Urgent Care/Clinic/Other Outpatient,1978,462,8,7403402.6,0.5462,0.4538,,,,,,21.23,Not Available,,
332 Congress Street,Reported,602667000,Office,332 Congress Street,2210,36192,42.8,48,,"Office, Restaurant",1980,105.2,2.9,1548414.6,0.8724,0.1276,,,,,,2.86,Not Available,,
34 Farnsworth,Reported,602663010,Office,34 Farnsworth Street,2210,25000,58.7,66,"2020, 2019",Office,1980,88.3,3.5,1466474.8,0.4179,0.5821,,,,,,3.01,Not Available,,
33/41 Farnsworth Street,Reported,602660010,Office,33/41 Farnsworth Street,2210,94381,33.4,,,Office,1980,189.9,2,3153615.8,0.4176,0.5824,,,,,,2.27,Not Available,We are re-filing CY-2016 because we did not include 6 tenant electric meters. ,
263 / 259 Summer,Reported,602702000,Office,263 Summer Street,2210,64564,74.8,36,,"Office, Retail Store",1980,316,4.9,4832511,0.7213,0.2787,,,,,,5.58,Not Available,"
263 Summer and 10 Melcher are the same building.

",
99 High Street,Reported,304390000,Office,99 High Street,2110,804264,60.7,74,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Bank Branch, Office, Other - Restaurant/Bar, Parking",1969,2755.7,3.8,44350579,0.53,0.47,,,,,,6.04,Not Available,"
Direct Energy Gas bills supplier costs do not show up on the National Grid House bill, so they must be added. The rate is $0.6830/therm until 11/1/18 when it will change to $0.7800/therm plus 6.25% sales tax.


",
44 Farnsworth,Reported,602662015,Office,44 Farnsworth Street,2210,93824,53.3,71,,Office,1980,318,3.4,5000782.9,0.6159,0.3841,,,,,,2.59,Not Available,,
374 Congress,Reported,602646010,Office,374 Congress Street,2210,95855,92.6,47,2019,"Office, Restaurant",1980,535.2,5.6,8877254.8,0.4219,0.5781,,,,,,21.46,Not Available,"The CY-2018 total gas usage for the property is accurate; however, the monthly spread was left to EMA since the aggregated national grid gas spreadsheet had lumped months together. ",
70 Federal,Reported,304669000,Office,70 Federal Street,2110,71872,58.4,57,,Office,1980,287.3,4,4194477.8,0.563,,0.437,,,,,2.51,Not Available,"
62111 ft2 is the living area as reported by the city of Boston under the tax parcel ID.

I changed 64,101 ft 2 to 71,872 ft2 which includes baseent and PH and that increased score from 31 to 45

",
Parker Hill,Reported,1001052000,Multifamily Housing,170 Parker Hill Avenue,2120,61930,64.8,78,,Multifamily Housing,1990,234.3,3.8,4015764.7,0.373,0.6927,,,,,,43.62,Not Available,On Site Solar,
Mount Pleasant (2-6 Waverly St),Reported,1200302000,Multifamily Housing,2 Waverly Street,2119,64504,68.8,75,,Multifamily Housing,1980,258.2,4,4438367.6,0.2967,0.733,,,,,,42.29,Not Available,"Multiple parcels for building:  1200303000, 1200304000, 1200305000, 1200359000",
1460 House,Reported,1500551012,Multifamily Housing,1460 Dorchester Avenue,2122,42985,35.4,93,,Multifamily Housing,2008,91.7,2.1,1521522.5,0.4199,0.581,,,,,,33.92,Not Available,,
5165 Washington Street LLC,Reported,2003386000,Multifamily Housing,5165 WASHINGTON STREET,2132,51225,4.4,100,,"Multifamily Housing, Parking",2017,11.7,0.3,171105.8,0.8829,0.1171,,,,,,19.23,Not Available,,
City Year,Reported,400549000,Office,287 Columbus Ave,2116,64540,56.6,82,"2020, 2018, 2017, 2016, 2015, 2014",Office,1930,225.5,3.5,3651532.8,0.574,0.4926,,,,,,7.39,Not Available,The person count for the building was increased in 2014. ,
"VIA Seaport Residences (hv66, ns003, tj13)",Reported,"602671035, 602641150",Multifamily Housing,5 Fan Pier Blvd,2210,1448366,42.5,96,,"Heated Swimming Pool, Multifamily Housing, Parking, Retail Store",2017,2892.2,2.7,46299061.6,0.5496,0.454,,,,,,13.89,Not Available,,
9 Miner Street (nm35),Reported,2100166000,Multifamily Housing,9 Miner St,2446,57833,62.5,81,,"Multifamily Housing, Parking",2015,171,3.7,2891261.5,0.3547,0.6453,,,,,,21.92,Not Available,,
Village at Chestnut Hill (vc62),Reported,2007833020,Strip Mall,631 VFW Parkway,2467,114450,95.6,,,"Medical Office, Parking, Strip Mall",1940,459.3,6.6,6699012.5,0.976,0.924,,,,,,25.23,Not Available,,
Boston Copley Square Courtyard,Reported,401057000,Hotel,88 Exeter st,2116,40000,193.2,7,,Hotel,1890,453.1,11.3,7726482.5,0.3245,0.6755,,,,,,28.63,Not Available,,
Wyndham Boston Beacon Hill,Reported,300660002,Hotel,5 Blossom Street,2114,224602,57.4,96,"2017, 2013","Heated Swimming Pool, Hotel",1968,795.9,3.5,12892718,0.564,0.4936,,,,,,15.71,Not Available,,
BOSTON OPERA HOUSE,Reported,304830000,Performing Arts,539 WASHINGTON STREET,2111,118781,56,,,Performing Arts,1928,440.3,3.7,6655192.9,0.7662,0.2338,,,,,,4.76,Not Available,,
Camfield Estates,Reported,901220000,Multifamily Housing,112 Camden Street,2118,113315,129.4,6,,Multifamily Housing,1998,825.9,7.3,14658689.2,0.1897,0.813,,,,,,79.48,Not Available,,
Blue Elm Apartments: 172-176 Seaver Street,Reported,1202344000,Multifamily Housing,172-176 Seaver St,2121,65350,61.2,75,,Multifamily Housing,1930,223.9,3.4,3996903.8,0.173,0.8297,,,,,,50.19,Not Available,Parcel ID includes: 172-176 Seaver; 55-59 Brookledge,
Columbia West: 392 Columbia Rd,Reported,1502411010,Multifamily Housing,392 Columbia Rd,2125,41632,62.1,68,,Multifamily Housing,2005,155.3,3.7,2585432.4,0.478,0.5922,,,,,,67.54,Not Available,,
Roxse Homes: Tremont and Warwick Street,Reported,902000010,Multifamily Housing,1030 Tremont Street,2120,123322,92.2,34,,Multifamily Housing,1974,657.8,5.3,11368843.1,0.2787,0.7213,,,,,,89.88,Not Available,"Apartment and basement square footage estimated. Gross square footage, units, and beds from Portfolio Manager. ",
Fieldstone Apartments,Reported,1404349000,Multifamily Housing,901 - 907 Blue Hill Ave,2124,50544,39.6,99,,Multifamily Housing,1980,113.3,2.2,2000198.8,0.261,0.7939,,,,,,24.13,Not Available,,
MPDC - Brookledge Cummins: 610 Cummins Hwy,Reported,1802473000,Multifamily Housing,610 Cummins Hwy,2126,26000,79.2,49,,Multifamily Housing,2008,119.9,4.6,2058641.3,0.37,0.6993,,,,,,43.4,Not Available,,
Tent City,Reported,400600040,Multifamily Housing,100 -128 Dartmouth Street (130),2116,327174,51.2,80,,"Multifamily Housing, Retail Store",1987,1040.8,3.2,16744676.2,0.5315,0.4685,,,,,,41.6,Not Available,,
Victory Gardens Apartments: 54 Orleans Street,Reported,105343100,Multifamily Housing,54 Orleans St,2128,78545,47.4,77,,Multifamily Housing,1979,222.4,2.8,3720676.1,0.3917,0.683,,,,,,23.67,Not Available,Sq. Ft. adjusted to match parcel/tax assessor - 60-70 Orleans,
225 Centre LLC,Reported,1100896020,Multifamily Housing,225 Centre St,2119,119719,53.8,96,,"Multifamily Housing, Parking, Retail Store",2013,329.4,3.1,5701788.9,0.2732,0.7268,,,,,,36.18,Not Available,"Tax assessor database incorrectly provides GFA as 46,516 sq ft - the correct GFA is provided for the property as 105,949 sq ft",
Dorchester House Apartments: 10 Ellet Street,Reported,1500550000,Multifamily Housing,10 Ellet St,2122,59400,49.6,79,,Multifamily Housing,1983,191.7,3.2,2946458.7,0.711,0.2989,,,,,,52.33,Not Available,,
Riviera: 270 Huntington Avenue,Reported,402289000,Multifamily Housing,270 Huntington Avenue,2115,35500,165.5,27,,Multifamily Housing,1934,328.1,9.2,5875982.4,0.163,0.8397,,,,,,83.15,Not Available,9-24-2015 CLARIFY NUMBER OF BEDROOMS - WAS ORIGINALLY TOLD 93 APARTMENTS AND 90 BEDROOMS; renovated in 1992,
Waterworks (Watermark): 2400 Beacon Street,Reported,2102439200,Multifamily Housing,2400 Beacon Street,2467,187885,37.4,91,,Multifamily Housing,2006,430.4,2.3,7027715.4,0.4779,0.5221,,,,,,Not Available,Not Available,,
Cardinal Medeiros Manor: 11 Woodcliff Street,Reported,1300691000,Multifamily Housing,11 Woodcliff St,2125,26070,112,47,,Multifamily Housing,1987,167.8,6.4,2920854.9,0.2554,0.7446,,,,,,59.64,Not Available,"Bedroom count is accurate as reported: Cardinal Medeiros Manor in Dorchester, Massachusetts is a community of fifty-five studio and one-bedroom apartment homes.",
Christopher Columbus Plaza: 145 Commercial Street,Reported,303551000,Multifamily Housing,145 Commercial St,2109,174895,52.5,83,,Multifamily Housing,1976,544.4,3.1,9185508.8,0.3615,0.6385,,,,,,Not Available,Not Available,,
The Metropolitan: 1 Nassau Street,Reported,305424030,Multifamily Housing,1 Nassau St,2111,350000,57.2,35,,Multifamily Housing,2001,1246.3,3.6,20033707.2,0.5346,0.4654,,,,,,43.95,Not Available,"2 gas fired absorption chillers for heating, dhw, ac to individual 2 pipe Whalen units; electricity is separately metered for floor 2 - paid FOR those residents.
Gross sq ft estimated with bldg footprint of 160ftx70ft, 23 stories.
251 units in total, 81 affordable",
Mercantile Wharf: Mercantile Wharf,Reported,303636000,Multifamily Housing,111 Atlantic Avenue,2110,230000,53.6,61,,Multifamily Housing,1974,716.3,3.1,12321301,0.2948,0.752,,,,,,Not Available,Not Available,,
Roxse Homes: Hammond Street,Reported,901580000,Multifamily Housing,10 Kendall Street,2118,112005,117.7,22,,Multifamily Housing,1974,740.2,6.6,13186187.6,0.1773,0.8227,,,,,,97.53,Not Available,,
Uphams Corner: 614 Columbia Rd,Reported,703892012,Multifamily Housing,614 Columbia Rd,2125,60348,49.2,52,,Multifamily Housing,2005,180.8,3,2968196.8,0.4587,0.5413,,,,,,43.4,Not Available,Multiple commercial spaces on the first floor and basement.,
"Mishawum Park: Bldgs 9,10,11, and 12",Reported,202390000,Multifamily Housing,290 Main Street,2129,98577,55,88,,Multifamily Housing,1974,317.6,3.2,5424938.8,0.3192,0.688,,,,,,58.57,Not Available,,
Nate Smith House: 155 Lamartine St - Compliance,Reported,1900029010,Multifamily Housing,155 Lamartine St,2130,40830,59.8,61,,Multifamily Housing,1998,141.1,3.5,2440735.8,0.2767,0.7233,,,,,,36.48,Not Available,,
Pondview: 560 Centre St,Reported,1900914000,Multifamily Housing,560 Centre St,2130,50297,91.8,33,,Multifamily Housing,2000,260,5.2,4619370.8,0.1861,0.8139,,,,,,Not Available,Not Available,"560 Centre St side has solar DHW, 568 Centre St side does not",
Dona Betsaida Gutierrez Cooperative: Centre-Creighton Apartments,Reported,1002038024,Multifamily Housing,11 Creighton St,2130,35503,72,38,,Multifamily Housing,2010,153,4.3,2557032.6,0.3958,0.642,,,,,,95.54,Not Available,Ground floor retail space (7078 sq. ft.) taken out of gross building square footage to get rid of areas not covered by utility accounts.,
Blue Elm Apartments-6 Wayne Street,Reported,1202410000,Multifamily Housing,6 Wayne Street,2121,61335,66.1,89,,Multifamily Housing,1930,226.8,3.7,4053257,0.1674,0.8326,,,,,,58.29,Not Available,,
Anna Bissonnette House: 1640 Washington Street,Reported,80448000,Multifamily Housing,1640 Washington Street,2118,22953,117.3,13,,Multifamily Housing,1997,153.4,6.7,2692571.1,0.227,0.773,,,,,,27.03,Not Available,Bedroom count is correct because it is a senior living home with SRO. ,
"Mishawum Park: Bldgs 17, 18, and 20",Reported,202315000,Multifamily Housing,216 Main Street,2129,30425,49,98,,Multifamily Housing,1974,85.1,2.8,1489594.4,0.2348,0.7652,,,,,,47.62,Not Available,,
Ruggles Assisted Living: 25 Ruggles Street,Reported,902453000,Multifamily Housing,25 Ruggles Street,2119,27516,62.1,66,,Multifamily Housing,2000,102.1,3.7,1707493.9,0.3924,0.676,,,,,,25.71,Not Available,Assisted living property so bedroom count is correct due to SRO. ,
Lorenzo Pitts: 1 Gardner,Reported,903454000,Multifamily Housing,1 Gardner Street,2119,14292,104.6,30,,Multifamily Housing,1860,84.2,5.9,1494891.2,0.187,0.813,,,,,,Not Available,Not Available,,
Commerce Apartments,Reported,1101302000,Multifamily Housing,3115 Washington Street,2130,26000,67.8,24,,Multifamily Housing,1940,101.4,3.9,1763411.3,0.2593,0.747,,,,,,48.62,Not Available,"According to Boston's tax assessor database, parcel id 1101302000 has a living area of 17,544 square feet. This building also has less than 50 units.",
Roxse Homes: Camden and Northampton Street,Reported,901120000,Multifamily Housing,65 Camden Street,2118,61307,114.1,34,,Multifamily Housing,1974,390.9,6.4,6993135.9,0.1634,0.8366,,,,,,98.67,Not Available,,
Sumner Hill House Condos: Sumner Hill House Condos,Reported,1901237000,Multifamily Housing,76 Elm Street,2130,95501,42.5,93,,Multifamily Housing,1985,239.3,2.5,4057871.6,0.3436,0.6564,,,,,,29.53,Not Available,"Double pane windows, Sonifil White Roof - Asphalt Roof and Slate Roof ---- Boiler upgraded in 2016",
Julia Martin House: Julia Martin House,Reported,1002334010,Multifamily Housing,90 Bickford St,2130,44892,56.1,66,,Multifamily Housing,2006,149.3,3.3,2520479.3,0.3597,0.643,,,,,,Not Available,Not Available,Hot water is electrically heated - changed to gas to see benchmarks,
