Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water ,% District Chilled Water,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2020,5 Year Energy Action and Assessment Compliance Status
100 Franklin Street - SOLD,Compliant,Office,100 Franklin Street,2110,129655,56.2,79,"2019, 2018","Bank Branch, Office",1908,500.9,3.9,7287192.1,0.716162087,0.283837913,,,,,9.44,,,,304666000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
100 Guest Street,Compliant,Office,100 Guest Street,2135,296176,100.2,64,,"Office, Other - Restaurant/Bar, Parking, Retail Store",2015,1948.1,6.6,29667094,0.575185895,0.424814105,,,,,Not Available,,,,2201905030,"2018, 2019, 2020,",No,
100 High Street,Compliant,Office,100 High Street,2110,550326,62.2,78,"2019, 2018, 2017, 2014, 2012, 2011, 2010","Data Center, Office, Parking",1988,2565.7,4.7,34237784.8,1,,,,,,Not Available,,,,304408000,"2014, 2016, 2017, 2018, 2019, 2020,",No,
100 Holton St,Compliant,Office,100 Holton St,2135,115577,20.9,100,,Office,1975,129.5,1.1,2414702.5,0.023698489,0.976301511,,,,,Not Available,,,,2200966000,"2015, 2016, 2017, 2018, 2019, 2020,",No,
100 North Washington Street,Compliant,Office,100 North Washington Street,2114,55943,35.7,84,,"Office, Parking",1985,139.9,2.5,1994970.6,1,,,,,,8.25,,,,301512000,"2015, 2016, 2018, 2019, 2020,",No,
100 Northern Avenue,Compliant,Office,100 Northern Avenue,2210,572998,69.6,77,2018,"Office, Parking, Restaurant",2016,2603.7,4.5,39858184.7,0.55949105,0.44050895,,,,,Not Available,,,,602671039,"2018, 2019, 2020,",No,
100 Summer Street,Compliant,Office,100 Summer Street,2110,1113465,72.6,75,"2016, 2015, 2014, 2013, 2012, 2011","Fast Food Restaurant, Office, Other, Parking",1974,5724.4,5.1,80865211.1,0.514171738,,0.485828262,,,,Not Available,,"This building is a large office building in downtown Boston.  It represents a single building only.  

The square footages used in previous time periods are inconsistent.  The current occupancy and vacancy numbers are a reasonable representation of the those in the past, and have been confirmed to be accurate over  the performance period.",,304220000,"2014, 2015, 2016, 2017, 2018, 2020,",No,
1000 Washington Boston Owner,Compliant,Office,1000 Washington Street,2118,242240,81.8,53,,Office,1900,1332.9,5.5,19807710.8,0.649709314,0.350290686,,,,,Not Available,,,,306234010,"2014, 2016, 2017, 2018, 2020,",No,
1000 Washington Boston Owner,Compliant,Office,1000 Washington Street,2118,242240,81.8,53,,Office,1900,1333.9,5.5,19821358.8,0.649950507,0.350049493,,,,,Not Available,,,,306234010,"2014, 2016, 2017, 2018, 2020,",No,
101 Arch Street,Compliant,Office,101 Arch Street,2110,473914,59,66,"2018, 2017, 2016, 2015, 2013, 2012, 2011, 2010, 2009","Fast Food Restaurant, Food Service, Office, Parking, Restaurant",1988,1957.6,4.1,27963946,0.992507763,0.007492237,,,,,10.54,,,,304597000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
101 CHARLESTOWN,Municipal,Multifamily Housing,55 Bunker Hill St.,2129,800238,122.8,15,,Multifamily Housing,1940,5719.7,7.1,98243996,0.233928671,0.76607133,,,,,Not Available,,,,202920000,"2016, 2017, 2018, 2019, 2020,",No,
101 Huntington Ave,Compliant,Office,101 Huntington Ave,2199,585345,77.2,75,"2019, 2018, 2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008","Office, Parking",1972,3178,5.4,45185157.1,0.479884382,0.012922527,0.506124154,0.001068935,,,15.36,,,,401037100,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
101 Merrimac Street,Compliant,Office,101 Merrimac Street,2114,159272,79,66,,"Office, Parking",1990,861.2,5.4,12581269.4,0.702884051,0.297115949,,,,,13.41,,,,301675000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
101 Seaport Boulevard,Compliant,Office,101 Seaport Boulevard,2210,620642,39.5,98,"2019, 2018, 2017","Office, Parking",2015,1602.8,2.6,24516654.9,0.561863417,0.438136579,,,,,Not Available,,,,602643020,"2017, 2018, 2019, 2020,",No,
101 Summer Street,Compliant,Office,101 Summer Street,2110,52651,91.1,50,,Office,1899,311.8,5.9,4796480,,0.455240718,,,,,23.25,,Note- Please contact CodeGreen Solutions with any questions involving ENERGY STAR Portfolio Manager,,"304578000, 304577000","2018, 2019, 2020,",No,
101 Tremont,Compliant,Office,101 Tremont Street,2108,80344,68.1,,,Office,1901,352.9,4.4,5471558,0.52145261,0.478547408,,,,,Not Available,,,,304717000,"2015, 2016, 2017, 2018, 2019, 2020,",No,
1010 Massachusetts Ave,Municipal,Office,1010 Massachusetts Ave,2118,195000,52.6,81,,Office,2000,701.5,3.6,10262954.3,0.69813956,0.30186045,,,,,Not Available,,"Must add electric account data from BPHC every year. These are not direct feeds: 25838471006, 26429611010, 26429601003, 25830461007",,801023000,"2016, 2017, 2018, 2019, 2020,",No,
10-18 Buswell Street,Compliant,Multifamily Housing,10-18 Buswell Street,2215,66456,62.1,85,,Multifamily Housing,1924,234.1,3.5,4124233,0.16725008,0.832749944,,,,,68.75,,,,2100201000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
1019 Commonwealth Avenue,Compliant,Residence Hall/Dormitory,1019 Commonwealth Avenue,2215,77750,62.4,75,,Residence Hall/Dormitory,1977,306.9,3.9,4850594.4,0.465584218,0.534415782,,,,,34.62,,,,2100468000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
102-108 Columbia Rd,Compliant,Multifamily Housing,102-108 Columbia Rd,2121,34821,80.8,52,,Multifamily Housing,1920,160.6,4.6,2812068.7,0.182495079,0.817504921,,,,,65.83,,,,1400833000,"2017, 2018, 2019, 2020,",No,
102-108 Gainsborough Street,Compliant,Multifamily Housing,102 Gainsborough Street,2115,55280,2.8,100,,Multifamily Housing,1983,11.8,0.2,156983.9,1,,,,,,Not Available,,,,401645000,"2018, 2020,",Yes,Not Compliant
10-24 School Street,Compliant,Office,10-24 School Street,2108,134789,65.7,89,"2020, 2019, 2018, 2017, 2016","Data Center, Office, Retail Store",1925,625.1,4.6,8855678.7,0.490801129,4.51688E-05,0.509153703,,,,7.22,,,,304718000,"2015, 2016, 2017, 2018, 2019, 2020,",No,
103 CLAYTON STREET,Compliant,Office,103 CLAYTON STREET,2122,40696,47.1,83,,Office,1912,124.1,3,1918271.6,0.531036168,0.468963832,,,,,6.03,,,,1600579000,"2016, 2017, 2018, 2019, 2020,",No,
103 Gainsborough St,Compliant,Multifamily Housing,103 Gainsborough St,2115,37120,2,100,,Multifamily Housing,1984,5.6,0.2,75267.5,1,,,,,,3238.68,,,,401611000,"2018, 2020,",No,
104 LENOX,Municipal,Multifamily Housing,136 Lenox St.,2118,199545,180.3,2,,Multifamily Housing,1940,2008.3,10.1,35985171.8,0.123435242,0.876564758,,,,,Not Available,,,,901447000,"2019, 2020,",No,
10-50 Old Colony Ave.,Compliant,Other,10-50 Old Colony Ave.,2127,78704,35.4,,,"Fitness Center/Health Club/Gym, Manufacturing/Industrial Plant, Office, Other",1924,175.2,2.2,2787432.8,0.446049462,0.553950574,,,,,4.41,,,,600324000,"2014, 2016, 2017, 2018, 2020,",No,
10500002 - Boston,Compliant,Distribution Center,100 Widett Circle,2118,212584,40.3,80,,Distribution Center,1969,641.6,3,8561936.4,1,,,,,,5.62,,0600006020 - Boston Assessing Parcel ID,,600006020,"2015, 2018, 2019, 2020,",No,
105-129 Kingston Street,Compliant,Office,2 24 Edinboro Street,2111,75500,68.7,,,"Office, Retail Store",1910,359.8,4.8,5184134.4,0.352486656,,0.647513344,,,,10.79,,,,304421000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
106 CATHEDRAL,Municipal,Multifamily Housing,1472 Washington St.,2118,571440,72.2,57,,Multifamily Housing,1951,2419.3,4.2,41272118,0.252208317,0.747791683,,,,,Not Available,,,,801209010,"2019, 2020,",No,
107 HEATH,Municipal,Multifamily Housing,30 Bickford Street,2130,279963,101.6,15,,Multifamily Housing,1942,1608.1,5.7,28444116.9,0.156718151,0.843281849,,,,,Not Available,,,,1002333000,"2019, 2020,",No,
1086 Commonwealth Ave,Compliant,Multifamily Housing,1086 Commonwealth Ave,2215,31530,72.9,92,,Multifamily Housing,1935,124.9,4,2298038.1,0.05715236,0.942847597,,,,,38.11,,,,2101596000,"2020,",No,
109 Brookline Ave. - Ste # 602030,Compliant,Not Available,109 BROOKLINE AVE,2215,285556,Not Available,,,"Office, Parking",1990,2261.5,Not Available,30770917.1,0.933846632,0.066153368,,,,,Not Available,,,,"2100073000, 2100070000, 2100071000, 2100068000","2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
1091 Boylston Street Condominium,Compliant,Multifamily Housing,1091 Boylston,2215,19161,140.9,34,,Multifamily Housing,1920,150.8,7.9,2700376.1,0.125862542,0.874137458,,,,,75.37,,,,504162000,"2017, 2018, 2019, 2020,",No,
1098-Jamaica Plain,Compliant,Self-Storage Facility,3175 Washington Street,2130,71057,34.2,,,Self-Storage Facility,2009,171.7,2.4,2431659.9,0.801164628,0.198835372,,,,,0.44,,,,"1102009000, 1102010000, 1102022000, 1102023000","2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
11 Beacon,Compliant,Office,11 Beacon Street,2110,146388,78.5,80,"2019, 2018","Office, Other - Restaurant/Bar",1911,693.5,4.7,11491086.9,0.331788118,0.668211882,,,,,9.31,,,,302804000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
11 Nevins Street,Compliant,Medical Office,11 Nevins Street,2135,50676,141.9,20,,Medical Office,1988,464.2,9.2,7192856.9,0.523119124,0.476880876,,,,,Not Available,,,,2101835200,"2015, 2016, 2017, 2018, 2019, 2020,",No,
11 Royce,Submitted With Possible Data Errors,Multifamily Housing,11 Royce Rd,2134,37608,Not Available,,,Multifamily Housing,1940,Not Available,Not Available,Not Available,,,,,,,Not Available,,,,2101546000,"2017, 2018, 2019, 2020,",No,
11 Tetlow Street - Tetlow Realty Associates,Compliant,Multifamily Housing,11 Tetlow Street,2115,21779,1.6,,,Multifamily Housing,1918,1.9,0.1,35373.4,,1,,,,,12.08,,,,401834000,"2017, 2018, 2019, 2020,",No,
110-112 Cummington Street,Compliant,College/University,110-112 Cummington Street,2215,48901,0.1,,,College/University,1923,0.4,0,7100,,1,,,,,Not Available,,,,2100277000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
111 Cummington Street (664-666 Comm. Ave),Compliant,College/University,111 Cummington Street (664-666 Comm. Ave),2215,93831,169.5,,,College/University,1911,980.9,10.5,15905968.8,0.392055201,0.607944792,,,,,Not Available,,,,"2100282000, 504100000","2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
111 Gainsborough St,Compliant,Multifamily Housing,111 Gainsborough St,2115,37120,2.4,100,,Multifamily Housing,1984,6.7,0.2,89887.5,1,,,,,,2656.45,,,,401615000,"2018, 2020,",No,
111 Huntington Ave,Compliant,Office,111 Huntington Ave,2199,1034179,77.8,65,"2018, 2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2003",Office,2001,5744.9,5.6,80503858.2,0.585235138,0.002597391,0.412167469,,,,13.99,,,,401037500,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
111 WHITTIER,Municipal,Multifamily Housing,1158 Tremont St.,2119,108472,36.6,100,,Multifamily Housing,1953,346.9,2.1,6012866.6,0.210064514,0.789935486,,,,,Not Available,,,,902643000,"2019, 2020,",No,
1126,Compliant,Retail Store,14 Allstate Road,2125,45261,59,55,,Retail Store,2006,185.7,4.1,2671579.4,0.751233297,0.248766703,,,,,2.23,,,,"703501030, 703501045","2016, 2017, 2018, 2019, 2020,",No,
114 ALICE TAYLOR,Municipal,Multifamily Housing,260 Ruggles St.,2120,389949,83.2,25,,Multifamily Housing,1951,1903.8,4.9,32431157.5,0.256013089,0.743986908,,,,,Not Available,,,,"402043700, 402043500, 402043400, 402043300, 402043200, 402043600","2019, 2020,",No,
114 Western Ave,Submitted With Possible Data Errors,Office,114 Western Ave,2134,80632,Not Available,,,"Office, Other, Urgent Care/Clinic/Other Outpatient",1925,Not Available,Not Available,Not Available,,,,,,,Not Available,,NOTE: Property undergoing major construction renovations in 2019,,2200268000,"2015, 2016, 2017, 2018, 2019, 2020,",No,
1140 Boylston Street,Compliant,College/University,1140 Boylston Street,2215,66920,92.8,,,College/University,1920,388,5.8,6207144.4,0.430389085,0.569610899,,,,,Not Available,,,,401755000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
115 – West Roxbury,Compliant,Supermarket/Grocery Store,1800 Centre St,2481,55929,318.8,60,,"Parking, Supermarket/Grocery Store",2002,1182.5,21.1,17831090.4,0.605066199,0.394933801,,,,,34.87,,"Water consumption was estimated for October and November. In the original invoices from Boston Water and Sewer Commission, October's consumption was 28,896 cubic feet and November's consumption was -990 cubic feet. We reached out to the BWSC and they mentioned this was done as a true up to make the annual figures correctly. Since PM does not accept negative values, we adjusted October's consumption to 27,906 cf and November's consumption to be 0 cubic feet.",,2005752010,"2016, 2017, 2018, 2019, 2020,",No,
115-119 Broad St,Submitted With Possible Data Errors,Not Available,109-115 Broad St.,2110,56094,Not Available,,,Office,1888,0,Not Available,Not Available,,,,,,,Not Available,,,,"304040000, 304039000","2018, 2020,",No,
116 Huntington,Compliant,Office,116 Huntington Ave,2116,287141,60.9,81,"2019, 2018, 2017, 2016, 2015, 2010","Office, Parking, Restaurant",1990,1309.6,4.6,17475317.2,1,,,,,,Not Available,,Columbia REIT-116 Huntington LLC c/o JLL.,,401013010,"2015, 2016, 2017, 2018, 2019, 2020,",No,
117 Park Drive,Compliant,Multifamily Housing,117 Park Drive,2215,35000,78.4,1,,Multifamily Housing,1910,205.5,5.9,2742429.1,1,,,,,,38.33,,,,504273000,"2015, 2017, 2020,",Yes,Not Compliant
119,Compliant,Office,119 Braintree Street,2134,140388,38.5,96,,"Office, Parking",1908,345.2,2.4,5428747.6,0.479765296,0.520234704,,,,,Not Available,,"Property use is office and artist studio.
Parking gross floor area is estimated.",,2201867000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
119 BROMLEY PARK,Municipal,Multifamily Housing,30 Bickford St.,2130,588634,85.6,72,,Multifamily Housing,1954,2843.7,4.8,50395409.5,0.151766744,0.848233256,,,,,Not Available,,,,"1001851000, 1002333300, 1002333200, 1002333400, 1002333100","2019, 2020,",No,
12 Farnsworth - BERDO,Compliant,Office,12 Farnsworth Street,2210,57108,131.7,72,,"Office, Retail Store",1918,497.7,8.7,7523922.6,0.597371828,0.402628172,,,,,25.84,,"Unable to gather 2015 natural gas data, as National Grid does not provide prior to 2016.
National Grid stated on May 14, 2020 that there doesn't seem to be any gas usaage for CY-2019 for 12-20 Farnsworth. We asked Grid to please double check 22 Farnsworth (which is part of the parcel).",,602665000,"2015, 2017, 2018, 2019, 2020,",No,
120 Ashford Street,Compliant,Distribution Center,120 Ashford Street,2215,65198,134.1,6,,"Distribution Center, Office, Parking",1958,515.5,7.9,8741065.8,0.268525527,0.731474484,,,,,Not Available,,,,2100414000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
120 Herald Street,Compliant,Other,120 Herald Street,2116,115680,1.4,,,"Other, Parking",1967,12.2,0.1,162306.1,1,,,,,,Not Available,,this is a parking structure only.  There is no building associated. No water meter.,,500515000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
1200 Commonwealth Ave,Compliant,Multifamily Housing,1200 Commonwealth Avenue,2134,33824,43.9,93,,Multifamily Housing,1990,98,2.9,1486508.1,0.586541708,0.413458225,,,,,Not Available,,Have not received updated water bills yet - will resubmit when available.,,2101571000,"2017, 2018, 2019, 2020,",No,
121 - Roche Bros.,Compliant,Supermarket/Grocery Store,10 Summer St,2110,37000,227.7,59,,Supermarket/Grocery Store,2008,576.9,15.6,8426406.2,0.703147482,0.296852518,,,,,Not Available,,"Submitting as a tenant. 

Subsequently, default values are only available at this time. Water data was currently unavailable for this site. This is administered by the landlord. 

The property opened on 2/25/2015.

Thank you for your understanding.",,304585010,"2017, 2018, 2019, 2020,",No,
121 Seaport,Compliant,Office,121 Seaport Boulevard,2210,486562,48.3,,,"Office, Parking, Retail Store",2018,1625.5,3.3,23482317.1,0.738022544,0.261977452,,,,,Not Available,,"A 17-story Class A office building in the Seaport District of Boston, MA",,602643040,"2020,",No,
123 ME MCCORMACK,Municipal,Multifamily Housing,10 Kemp St.,2127,859162,165.3,1,,Multifamily Housing,1938,8003.6,9.3,142026096.2,0.148382037,0.851617963,,,,,Not Available,,,,"702853000, 702846000, 702847000, 702844000, 702845000, 700773000","2019, 2020,",No,
1230 Washington St,Compliant,Manufacturing/Industrial Plant,1234 Washington St,2118,60990,27.1,,,Manufacturing/Industrial Plant,1926,92,1.5,1655057.2,0.112949148,0.887050852,,,,,6.94,,,,306443000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
1234 Soldiers Field Road,Compliant,Hotel,1234 Soldiers Field Road,2135,58550,82.6,91,,"Hotel, Parking",1900,265.8,4.5,4838068.3,0.083146387,0.916853613,,,,,66.85,,,,2200562002,"2017, 2018, 2019, 2020,",No,
124 OLD COLONY,Municipal,Multifamily Housing,265 East 9th St.,2127,334068,262.4,1,,Multifamily Housing,1940,4811,14.4,87654378.2,0.081160045,0.918839955,,,,,Not Available,,,,"700538010, 700539001, 700539010, 700540030","2019, 2020,",No,
1249 Boylston Street,Compliant,Office,1249 Boylston Street,2115,37495,99.2,,,"Office, Retail Store",1950,249.4,6.7,3720246.8,0.637841393,0.36215858,,,,,6.09,,,,504205000,"2016, 2017, 2018, 2019, 2020,",No,
125 High St.,Compliant,Office,125 High Street,2110,1511250,56.6,80,"2019, 2018, 2017, 2015, 2014, 2013, 2012, 2011, 2010, 2009","Office, Parking",1990,6405.5,4.2,85478218.2,1,,,,,,Not Available,,,,304102000,"2015, 2016, 2017, 2018, 2019, 2020,",No,
125 Lincoln Street,Compliant,Mixed Use Property,125 Lincoln Street,2111,57813,83.1,80,,"Office, Other, Parking, Supermarket/Grocery Store",1955,303.3,5.2,4805838.8,0.458273361,0.541726639,,,,,Not Available,,,,304334000,"2014, 2017, 2018, 2019, 2020,",No,
125 Magazine St,Municipal,Office,125 Magazine St,2119,8100,63.2,60,,Office,2000,32.9,4.1,511655.5,0.51614905,0.48385095,,,,,Not Available,,,,800495010,"2016, 2017, 2018, 2019, 2020,",No,
